

2015年02月12日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
="03024P","3A群益","111000","1","370740","3.34","3.34","3.34","3.34","+","0.04","2.82","25","2.88","10","0.00"
="03024X","富展03","0","0","0","--","--","--","--"," ","0","25.8","1","26","1","148.5"
="03025P","3D群益","16000","1","5280","0.33","0.33","0.33","0.33","X","0","0.31","25","0.32","10","0.00"
="03025X","元展22","1000","1","18000","18","18","18","18","X","0","17.9","371","18","347","69"
="03026P","KX元富","0","0","0","--","--","--","--"," ","0","0.01","25","0.04","20","0.00"
="03026X","元展23","1000","1","4780","4.78","4.78","4.78","4.78","-","0.03","4.79","100","4.81","100","17.11"
="03027P","KY元富","0","0","0","--","--","--","--"," ","0","0.01","25","0.03","49","0.00"
="03027X","元展24","7000","3","66800","9.5","9.55","9.5","9.55","+","0.05","9.55","100","9.6","103","30.68"
="03028P","KZ元富","0","0","0","--","--","--","--"," ","0","1.03","25","1.04","25","0.00"
="03028X","元展25","0","0","0","--","--","--","--"," ","0","17.1","36","17.2","50","66.2"
="03029P","日盛LF","10000","1","13700","1.37","1.37","1.37","1.37","-","0.02","1.37","25","1.39","10","105"
="03029X","元展26","0","0","0","--","--","--","--"," ","0","11.2","34","11.3","32","40.4"
="03030P","兆豐9K","0","0","0","--","--","--","--"," ","0","0.02","10","0.03","13","0.00"
="03030X","元展27","2000","1","19800","9.9","9.9","9.9","9.9"," ","0","9.85","100","9.9","52","17.05"
="03031P","兆豐9V","0","0","0","--","--","--","--"," ","0","--","0","0.02","10","0.00"
="03031X","元展28","1000","1","9100","9.1","9.1","9.1","9.1","X","0","8.95","49","9","33","64.5"
="03032P","兆豐9W","211000","7","91560","0.42","0.45","0.42","0.44","-","0.01","0.43","10","0.44","30","0.00"
="03032X","元展29","76000","6","719300","9.4","9.6","9.4","9.5","-","0.15","9.55","115","9.6","37","16.6"
="03033P","兆豐9X","469000","11","246170","0.53","0.56","0.5","0.5","-","0.1","0.49","10","0.5","20","0.00"
="03033X","元展30","91000","5","792700","8.65","8.8","8.65","8.8","X","0","8.7","76","8.75","50","288"
="03034P","A4兆豐","16000","2","19660","1.36","1.36","1.22","1.22","-","0.2","1.2","10","1.22","30","0.00"
="03034X","元展31","72000","14","916100","12.7","12.9","12.7","12.7","-","0.1","12.8","75","12.9","63","458"
="03035P","B2兆豐","143000","6","81430","0.53","0.62","0.53","0.61","+","0.07","0.58","10","0.6","30","0.00"
