

2015年02月12日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
="081616","32群益","16000","1","1920","0.12","0.12","0.12","0.12","-","0.01","0.11","25","0.12","10","38.5"
="081617","33群益","0","0","0","--","--","--","--"," ","0","0.01","25","0.02","10","458"
="081618","34群益","398000","2","70650","0.18","0.18","0.17","0.17"," ","0","0.16","25","0.17","10","52.9"
="081619","35群益","0","0","0","--","--","--","--"," ","0","0.18","25","0.19","10","45.9"
="081620","日盛JP","15000","5","75690","4.83","5.2","4.83","5.05","X","0","4.92","25","4.99","10","84.5"
="081621","日盛JQ","0","0","0","--","--","--","--"," ","0","0.25","479","0.26","399","50"
="081622","日盛JR","0","0","0","--","--","--","--"," ","0","0.05","400","0.06","10","254.5"
="081623","6J富邦","0","0","0","--","--","--","--"," ","0","0.93","30","0.95","10","147.5"
="081624","6K富邦","0","0","0","--","--","--","--"," ","0","0.01","30","0.02","12","42.25"
="081625","6L富邦","0","0","0","--","--","--","--"," ","0","0.2","10","0.21","10","48.15"
="081626","6M富邦","0","0","0","--","--","--","--"," ","0","2.87","10","2.97","10","17.11"
="081627","6N富邦","0","0","0","--","--","--","--"," ","0","2.62","10","2.72","10","17.11"
="081628","國票FN","0","0","0","--","--","--","--"," ","0","0.02","998","0.03","10","0.00"
="081629","康和GY","0","0","0","--","--","--","--"," ","0","7.15","10","7.5","2","0.00"
="08162P","FH富邦","0","0","0","--","--","--","--"," ","0","1.05","10","1.08","10","0.00"
="081630","康和GZ","0","0","0","--","--","--","--"," ","0","1.09","10","1.15","10","0.00"
="081631","EU元富","0","0","0","--","--","--","--"," ","0","0.67","25","0.68","10","36.65"
="081632","EV元富","10000","1","1400","0.14","0.14","0.14","0.14","+","0.01","0.13","25","0.14","35","48.15"
="081633","EW元富","0","0","0","--","--","--","--"," ","0","3.3","25","3.39","25","2680"
="081634","EX元富","429000","1","55770","0.13","0.13","0.13","0.13","-","0.02","0.13","25","0.14","25","27.05"
="081635","EY元富","228000","15","153120","0.67","0.7","0.65","0.65","-","0.01","0.65","25","0.67","18","43.3"
="081636","EZ元富","0","0","0","--","--","--","--"," ","0","0.03","25","0.04","25","21"
="081637","玉山6K","90000","6","112000","1.27","1.29","1.19","1.19","-","0.01","1.16","10","1.19","10","0.00"
="081638","玉山6L","0","0","0","--","--","--","--"," ","0","2.95","10","3.04","10","0.00"
="081639","2P凱基","0","0","0","--","--","--","--"," ","0","2.82","30","2.89","30","493"
="081640","2Q凱基","238000","18","679820","2.74","2.94","2.74","2.83","+","0.45","2.77","30","2.83","24","45.5"
="081641","2R凱基","0","0","0","--","--","--","--"," ","0","0.14","30","0.15","30","54.7"
="081642","2S凱基","70000","3","24000","0.34","0.36","0.34","0.36","+","0.02","0.34","30","0.35","30","54.7"
="081643","工銀EC","0","0","0","--","--","--","--"," ","0","2.7","50","2.77","50","17.11"
="081644","工銀ED","0","0","0","--","--","--","--"," ","0","6.95","90","7.35","90","30.68"
="081645","工銀EE","6000","3","360","0.06","0.06","0.06","0.06"," ","0","0.01","200","0.06","10","86.2"
="081646","工銀EF","0","0","0","--","--","--","--"," ","0","0.29","100","0.35","10","45.9"
="081647","元大YC","0","0","0","--","--","--","--"," ","0","--","0","0.01","3,278","86.2"
="081648","元大YD","152000","13","170180","1.09","1.17","1.09","1.14","+","0.17","1.14","75","1.18","100","59.7"
="081649","國泰7U","315000","16","437200","1.42","1.47","1.24","1.33","+","0.17","1.35","30","1.36","30","41.9"
="081650","國泰7V","0","0","0","--","--","--","--"," ","0","0.05","499","0.06","10","99.8"
="081651","國泰7W","440000","12","76800","0.2","0.2","0.16","0.16","-","0.05","0.16","509","0.21","50","14.55"
="081652","永豐NR","0","0","0","--","--","--","--"," ","0","--","0","0.01","16","86.2"
="081653","永豐NS","5000","1","1050","0.21","0.21","0.21","0.21","+","0.03","0.21","494","0.22","10","288"
="081654","永豐NT","10000","1","700","0.07","0.07","0.07","0.07","X","0","0.06","100","0.08","65","54.7"
="081655","永豐NU","99000","1","4950","0.05","0.05","0.05","0.05","X","0","0.04","499","0.05","10","57.1"
="081656","38群益","3852000","14","72150","0.02","0.03","0.01","0.02","X","0","0.01","524","0.02","10","15.55"
="081657","39群益","0","0","0","--","--","--","--"," ","0","0.93","25","0.96","10","323.5"
="081658","40群益","425000","6","463500","1.06","1.14","1.06","1.12","+","0.11","1.1","25","1.14","10","78.3"
="081659","41群益","10000","1","100","0.01","0.01","0.01","0.01","X","0","0.01","25","0.02","10","147.5"
="081660","42群益","650000","5","104500","0.16","0.17","0.16","0.17","X","0","0.17","25","0.18","10","54.7"
="081661","43群益","0","0","0","--","--","--","--"," ","0","--","0","0.05","100","36.6"
="081662","國票FP","0","0","0","--","--","--","--"," ","0","0.04","998","0.05","10","0.00"
="081663","國票FQ","73000","10","29220","0.37","0.46","0.37","0.45","X","0","0.4","998","0.41","25","0.00"
="081664","FJ元富","490000","5","73500","0.15","0.15","0.15","0.15","-","0.02","0.14","25","0.15","25","99.8"
="081665","FK元富","2144000","61","1227740","0.54","0.6","0.54","0.58","-","0.09","0.57","26","0.58","25","16.6"
="081666","FL元富","0","0","0","--","--","--","--"," ","0","0.06","25","0.07","25","156.5"
="081667","FM元富","215000","14","227710","1.01","1.11","1.01","1.1","+","0.08","1.07","25","1.08","10","218.5"
="081668","FN元富","0","0","0","--","--","--","--"," ","0","0.09","25","0.1","25","28.1"
="081669","FP元富","0","0","0","--","--","--","--"," ","0","0.01","25","0.04","25","20.2"
="081670","日盛JS","150000","1","13500","0.09","0.09","0.09","0.09","X","0","0.09","25","0.1","60","14.15"
="081671","統一NC","74000","8","48400","0.65","0.66","0.64","0.66","+","0.02","0.64","68","0.65","50","54.7"
="081672","6Q富邦","210000","10","62900","0.38","0.38","0.29","0.3"," ","0","0.29","10","0.3","10","102"
="081673","6R富邦","15000","2","17100","1.14","1.14","1.14","1.14","X","0","1.1","10","1.11","10","17.05"
="081674","6S富邦","191000","4","87860","0.45","0.47","0.45","0.46","X","0","0.45","10","0.46","10","59.7"
="081675","玉山6M","0","0","0","--","--","--","--"," ","0","0.02","10","0.1","10","0.00"
="081676","玉山6N","0","0","0","--","--","--","--"," ","0","0.01","10","0.1","10","0.00"
="081677","2V凱基","50000","1","33000","0.66","0.66","0.66","0.66","+","0.09","0.56","30","0.66","30","147.5"
="081678","7K亞東","0","0","0","--","--","--","--"," ","0","0.7","10","0.78","10","11.55"
="081679","7L亞東","0","0","0","--","--","--","--"," ","0","--","0","0.01","336","86.2"
="08167P","中信72","199000","15","152320","0.78","0.78","0.74","0.74","-","0.05","0.73","30","0.75","30","0.00"
="081680","7M亞東","0","0","0","--","--","--","--"," ","0","0.85","10","0.95","10","10.5"
="081681","7N亞東","0","0","0","--","--","--","--"," ","0","0.28","10","0.38","10","45.1"
="081682","6W富邦","0","0","0","--","--","--","--"," ","0","0.03","10","0.1","10","31.2"
="081683","6X富邦","0","0","0","--","--","--","--"," ","0","0.08","15","0.09","10","52.2"
="081684","6Y富邦","0","0","0","--","--","--","--"," ","0","0.47","15","0.48","10","45.9"
="081685","6Z富邦","500000","5","119700","0.23","0.24","0.23","0.24"," ","0","0.24","10","0.25","10","59.7"
="081686","元大YE","0","0","0","--","--","--","--"," ","0","0.07","100","0.08","100","54.7"
="081687","元大YF","100000","1","3000","0.03","0.03","0.03","0.03","+","0.01","0.01","309","0.02","100","458"
="081688","元大YG","110000","2","8800","0.08","0.08","0.08","0.08","X","0","0.07","10","0.08","10","92.4"
="081689","46群益","0","0","0","--","--","--","--"," ","0","--","0","0.02","15","38.8"
="081690","47群益","0","0","0","--","--","--","--"," ","0","--","0","--","0","50.1"
="081691","中信L6","788000","17","174850","0.2","0.24","0.2","0.23","+","0.03","0.23","10","0.24","30","86.2"
="081692","中信L7","16000","4","17430","1.09","1.14","1.06","1.14","+","0.14","1.16","30","1.17","30","45.9"
="081693","中信L8","0","0","0","--","--","--","--"," ","0","0.85","30","0.87","30","45.9"
="081694","中信L9","0","0","0","--","--","--","--"," ","0","0.15","30","0.16","30","7.67"
="081695","中信M1","0","0","0","--","--","--","--"," ","0","0.35","30","0.36","30","76.3"
="081696","日盛JT","515000","10","725320","1.5","1.5","1.31","1.32","-","0.09","1.31","495","1.32","2","2680"
="081697","FT元富","0","0","0","--","--","--","--"," ","0","0.16","25","0.17","25","54.7"
="081698","FU元富","0","0","0","--","--","--","--"," ","0","0.22","25","0.23","25","25.4"
="081699","FV元富","290000","3","365600","1.22","1.32","1.22","1.32","X","0","1.38","25","1.43","25","77.7"
="081700","FW元富","0","0","0","--","--","--","--"," ","0","4.01","25","4.11","10","2680"
="081701","FX元富","0","0","0","--","--","--","--"," ","0","0.21","25","0.22","25","99.8"
="081702","FY元富","140000","3","25200","0.18","0.18","0.18","0.18"," ","0","0.17","25","0.18","25","43.1"
="081703","國票FR","0","0","0","--","--","--","--"," ","0","0.02","25","0.03","10","0.00"
="081704","國票FS","0","0","0","--","--","--","--"," ","0","1.36","998","1.38","25","0.00"
="081705","玉山6P","52000","7","8950","0.2","0.2","0.16","0.16","-","0.11","0.16","10","0.17","20","0.00"
="081706","日盛JX","0","0","0","--","--","--","--"," ","0","1.54","10","1.63","10","16.75"
="081707","日盛JY","0","0","0","--","--","--","--"," ","0","--","0","--","0","50.1"
="081708","兆豐6P","0","0","0","--","--","--","--"," ","0","0.99","10","1.03","10","10.5"
="081709","兆豐6Q","0","0","0","--","--","--","--"," ","0","1.59","10","1.6","30","0.00"
="081710","兆豐6R","61000","3","4280","0.07","0.08","0.07","0.07","-","0.02","0.07","50","0.08","10","0.00"
="081711","兆豐6W","37000","4","44110","1.18","1.21","1.18","1.21","X","0","1.18","10","1.21","20","218.5"
="081712","兆豐6X","0","0","0","--","--","--","--"," ","0","0.35","10","0.36","30","48.4"
="081713","兆豐6Y","0","0","0","--","--","--","--"," ","0","1.16","10","1.17","10","323.5"
="081714","2Y凱基","50000","5","110100","2.25","2.25","2.15","2.15","-","0.12","2.15","30","2.25","40","17.11"
="081715","2Z凱基","134000","4","83240","0.64","0.64","0.61","0.61","-","0.07","0.59","30","0.6","30","38.5"
="081716","7P亞東","0","0","0","--","--","--","--"," ","0","0.25","10","0.35","10","14.15"
="081717","7Q亞東","0","0","0","--","--","--","--"," ","0","2.95","10","3.05","10","17.11"
="081718","7R亞東","0","0","0","--","--","--","--"," ","0","--","0","--","0","458"
="081719","7S亞東","0","0","0","--","--","--","--"," ","0","0.03","10","0.1","10","8.85"
="081720","7T亞東","100000","1","264000","2.64","2.64","2.64","2.64","X","0","2.56","10","2.59","10","2680"
="081721","FZ元富","308000","26","186490","0.57","0.63","0.57","0.57","-","0.03","0.56","25","0.57","10","11.55"
="081722","GA元富","20000","2","15000","0.74","0.76","0.74","0.76","+","0.05","0.74","25","0.76","25","10.8"
="081723","GB元富","77000","7","83090","1.05","1.13","1.01","1.13","+","0.15","1.15","25","1.16","25","45.9"
="081724","GC元富","0","0","0","--","--","--","--"," ","0","0.17","25","0.18","25","38.5"
="081725","GD元富","21000","2","10910","0.51","0.53","0.51","0.53","+","0.06","0.51","25","0.52","25","59.7"
="081726","國票FT","0","0","0","--","--","--","--"," ","0","0.24","25","0.25","25","0.00"
="081727","永豐NZ","1000","1","60","0.06","0.06","0.06","0.06"," ","0","0.06","499","0.07","100","109"
="081728","1A永豐","65000","1","40950","0.63","0.63","0.63","0.63","-","0.2","0.61","499","0.65","10","16.75"
="081729","1B永豐","480000","1","9600","0.02","0.02","0.02","0.02"," ","0","0.02","499","0.03","10","62.7"
="081730","1C永豐","5000","1","12800","2.56","2.56","2.56","2.56","+","0.04","2.5","499","2.54","10","493"
="081731","1D永豐","171000","9","72180","0.4","0.44","0.4","0.43","+","0.06","0.42","499","0.43","10","59.7"
="081732","1E永豐","20000","1","600","0.03","0.03","0.03","0.03","X","0","0.03","579","0.06","10","458"
="081733","1F永豐","1000","1","350","0.35","0.35","0.35","0.35","+","0.05","0.34","499","0.35","10","45.9"
="081734","1G永豐","20000","4","1600","0.08","0.08","0.08","0.08"," ","0","0.07","499","0.08","50","44.8"
="081735","51群益","40000","5","102050","2.54","2.57","2.52","2.57","-","0.05","2.57","494","2.58","499","0.00"
="081736","52群益","5000","1","8800","1.76","1.76","1.76","1.76","-","0.05","1.78","499","1.79","499","0.00"
="081737","53群益","403000","11","438860","1.17","1.17","1.07","1.12","-","0.02","1.11","499","1.12","476","0.00"
="081738","54群益","6000","2","3990","0.67","0.67","0.66","0.66","-","0.06","0.67","499","0.68","499","0.00"
="081739","55群益","104000","5","71120","0.7","0.7","0.67","0.7","-","0.05","0.7","499","0.71","499","0.00"
="081740","59群益","0","0","0","--","--","--","--"," ","0","2.51","25","2.61","10","323.5"
="081741","60群益","15000","3","6550","0.41","0.45","0.41","0.45","-","0.21","0.45","75","0.46","10","254.5"
="081742","61群益","533000","12","494170","0.9","0.94","0.9","0.91","+","0.14","0.89","25","0.9","10","10.5"
="081743","62群益","0","0","0","--","--","--","--"," ","0","--","0","--","0","62.7"
="081744","中信M2","10000","1","7300","0.73","0.73","0.73","0.73","-","0.03","0.74","997","0.75","299","0.00"
="081745","N2第一","20000","1","2200","0.11","0.11","0.11","0.11","X","0","0.09","10","0.12","20","92.4"
="081746","N3第一","1000","1","370","0.37","0.37","0.37","0.37","X","0","0.43","10","0.45","10","59.7"
="081747","統一ND","55000","2","43350","0.79","0.79","0.78","0.78","-","0.02","0.78","20","0.8","10","40.4"
="081748","統一NE","10000","1","2100","0.21","0.21","0.21","0.21","-","0.01","0.19","20","0.2","10","112"
="081749","統一NF","0","0","0","--","--","--","--"," ","0","0.28","10","0.29","10","15.5"
="081750","7A富邦","0","0","0","--","--","--","--"," ","0","0.26","11","0.27","13","30.95"
="081751","7B富邦","5000","1","4800","0.96","0.96","0.96","0.96","+","0.03","0.91","10","0.92","10","67.8"
="081752","7C富邦","0","0","0","--","--","--","--"," ","0","0.07","10","0.1","10","37.4"
="081753","7D富邦","80000","4","84800","1.02","1.07","1.02","1.05","+","0.01","1.02","10","1.03","10","341.5"
="081754","7E富邦","1208000","121","1103500","0.95","0.95","0.88","0.92","-","0.09","0.91","70","0.98","10","0.00"
="081755","7F富邦","1845000","31","692390","0.41","0.41","0.35","0.37","-","0.04","0.36","66","0.37","25","0.00"
="081756","元大YJ","17000","2","12700","0.74","0.8","0.74","0.8","X","0","0.82","100","0.83","100","45.9"
="081757","元大YK","0","0","0","--","--","--","--"," ","0","0.12","100","0.13","100","20.2"
="081758","元大YM","36000","3","1100","0.04","0.04","0.03","0.03","-","0.03","0.03","100","0.04","100","26.25"
="081759","國泰7Y","12000","1","25680","2.14","2.14","2.14","2.14","+","0.02","2.1","250","2.18","12","16.6"
="081760","玉山6Q","0","0","0","--","--","--","--"," ","0","0.01","10","0.09","10","0.00"
="081761","1I永豐","0","0","0","--","--","--","--"," ","0","4.29","499","4.38","10","22.12"
="081762","1J永豐","0","0","0","--","--","--","--"," ","0","0.02","499","0.03","30","32"
="081763","1K永豐","182000","2","249220","1.46","1.46","1.36","1.36","-","0.04","1.36","499","1.39","10","15.65"
="081764","1L永豐","207000","8","115940","0.58","0.58","0.56","0.56"," ","0","0.55","499","0.56","2","22.95"
="081765","1M永豐","40000","1","56400","1.41","1.41","1.41","1.41","X","0","1.38","499","1.44","10","17.05"
="081766","1N永豐","0","0","0","--","--","--","--"," ","0","0.1","499","0.11","100","15.5"
="081767","1P永豐","0","0","0","--","--","--","--"," ","0","0.16","499","0.17","333","78.5"
="081768","1Q永豐","50000","2","39500","0.79","0.79","0.79","0.79"," ","0","0.74","111","0.75","25","37.9"
="081769","1R永豐","61000","8","1830","0.03","0.03","0.03","0.03"," ","0","0.03","222","0.04","10","17.35"
="081770","1S永豐","0","0","0","--","--","--","--"," ","0","0.49","100","0.52","10","10.5"
="081771","1T永豐","0","0","0","--","--","--","--"," ","0","0.4","100","0.41","10","323.5"
="081772","64群益","0","0","0","--","--","--","--"," ","0","2.44","25","2.51","10","53.5"
="081773","65群益","0","0","0","--","--","--","--"," ","0","0.53","25","0.54","10","323.5"
="081774","66群益","0","0","0","--","--","--","--"," ","0","0.08","25","0.09","10","26.75"
="081775","67群益","0","0","0","--","--","--","--"," ","0","2.74","25","2.79","10","2680"
="081776","68群益","0","0","0","--","--","--","--"," ","0","0.64","25","0.7","10","36.65"
="081777","中信M4","0","0","0","--","--","--","--"," ","0","1.54","30","1.58","10","15.65"
="081778","中信M5","10000","1","4200","0.42","0.42","0.42","0.42","X","0","0.41","30","0.42","30","109"
="081779","統一NG","493000","6","561850","1.11","1.19","1.1","1.19","+","0.13","1.19","20","1.2","20","45.9"
="081780","統一NH","34000","2","25600","0.75","0.77","0.75","0.77","X","0","0.79","10","0.82","10","275.5"
="081781","7J富邦","35000","2","15450","0.44","0.45","0.44","0.45","-","0.09","0.47","50","0.52","10","69"
